Project Name:,Contract Type:,Contract Method:,Community:,Originating Department:,Awarded To:,Award Date:,Award Value:
Residential Care,Consulting,Public Request for Proposals,Clyde River,Family Services,Sinclair Children's Residence Inc.,01 April 2017,"$112,397.20"
Residential Care,Service Contract,Sole Source,Kinngait,Family Services,Maryhomes Inc.,01 April 2015,"$112,440.00"
Specialized Residential Care/Treatment,Consulting,Public Request for Proposals,Chesterfield Inlet,Family Services,Bairn Croft Residential Services Inc.,19 December 2016,"$112,523.74"
Residential Care,Consulting,Public Request for Proposals,Kinngait,Family Services,I Have a Chance Support Services Ltd.,01 April 2016,"$112,538.48"
Residential Care,Service Contract,Public Request for Proposals,Kinngait,Family Services,Sinclair Children's Residence Inc.,01 April 2015,"$112,648.00"
Residential Care,Service Contract,Sole Source,Pond Inlet,Family Services,Partners in Parenting Inc.,01 April 2020,"$113,022.25"
Residential Care,Consulting,Public Request for Proposals,Taloyoak,Family Services,Options Youth (Ontario) Inc.,01 April 2016,"$113,075.00"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,Sinclair Children's Residence Inc.,01 April 2016,"$113,227.20"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Options Youth Ontario Inc.,01 April 2020,"$113,259.00"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Options Youth Ontario Inc.,01 April 2020,"$113,259.00"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,Sinclair Children's Residence Inc.,01 April 2016,"$113,397.20"
Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Sinclair Children's Residence Inc.,01 April 2015,"$113,648.00"
Residential Care,Service Contract,Public Request for Proposals,Naujaat,Family Services,Protegra Inc.,01 April 2014,"$113,690.20"
Residential Care,Consulting,Public Request for Proposals,Pond Inlet,Family Services,Macdonald Youth Services Inc.,29 March 2019,"$113,986.38"
Specialized Residential Care,Consulting,Public Request for Proposals,Sanikiluaq,Family Services,Sinclair Children's Residence Inc.,01 April 2017,"$114,227.20"
Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Sinclair Children's Residence Inc.,01 April 2015,"$114,448.00"
Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Sinclair Children's Residence Inc.,01 April 2015,"$114,478.00"
Residential Care,Service Contract,Public Request for Proposals,Sanikiluaq,Family Services,Sinclair Children's Residence Inc.,01 April 2015,"$114,978.00"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Options Youth (Ontario) Inc.,01 April 2015,"$115,008.00"
Residential Care,Consulting,Public Request for Proposals,Sanikiluaq,Family Services,Bairn Croft Residential Services Inc.,01 April 2016,"$115,027.20"
Residential Care,Service Contract,Sole Source,Sanikiluaq,Family Services,Sinclair Children's Residence Inc.,01 April 2018,"$115,227.20"
Residential Care,Service Contract,Sole Source,Igloolik,Family Services,Sinclair Children's Residence Inc.,01 April 2018,"$115,500.00"
Specialized Residential Care,Service Contract,Extension,Naujaat,Family Services,Protegra Inc.,01 April 2013,"$115,742.00"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Sinclair Children's Residence Inc.,01 April 2019,"$116,319.50"
Residential Care,Service Contract,Sole Source,Kinngait,Family Services,Mary Homes Inc.,28 March 2014,"$116,580.00"
Residential Care,Service Contract,Sole Source,Naujaat,Family Services,Association for Community Living,01 April 2015,"$116,900.00"
Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Embassy West Senior Living,01 September 2020,"$117,157.56"
Residential Care,Service Contract,Sole Source,Baker Lake,Family Services,Broken Arrow Residential Treatment Services,01 April 2020,"$117,700.00"
Residential Care,Service Contract,Sole Source,Sanikiluaq,Family Services,Sinclair Children's Residence,01 April 2020,"$117,864.13"
Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,I Have A Chance Support Services Ltd.,07 September 2020,"$117,984.92"
Residential Care,Service Contract,Sole Source,Sanikiluaq,Family Services,Sinclair Children's Residence Inc.,01 April 2019,"$118,120.38"
Specialized Residential Care,Service Contract,Extension,Gjoa Haven,Family Services,Protegra Inc.,01 April 2013,"$118,351.00"
Residential Care,Service Contract,Extension,Rankin Inlet,Family Services,5788847 MB Inc. o/a Gloria's Place,01 April 2013,"$118,625.00"
Dispatch Services,Consulting,Sole Source,Iqaluit,Family Services,City of Iqaluit,01 April 2014,"$118,625.00"
Specialized Residential Care Treatment,Consulting,Public Request for Proposals,Arviat,Family Services,66339977 Manitoba Ltd. o/a The Massey Home,01 April 2016,"$118,625.00"
Residential Care,Service Contract,Public Request for Proposals,Arviat,Family Services,6639977 Manitoba Ltd.,01 April 2014,"$118,625.00"
Specialized Residential Care,Service Contract,Extension,Rankin Inlet,Family Services,Protegra Inc.,01 April 2013,"$118,917.00"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,Bairn Croft Residential Services Inc.,01 April 2016,"$119,029.00"
Residential Care,Consulting,Sole Source,Pond Inlet,Family Services,I Have a Chance Support Services Ltd.,01 April 2018,"$119,133.81"
Residential Care,Consulting,Sole Source,Kugluktuk,Family Services,Silvia Moreno,01 April 2016,"$119,144.00"
Residential Care,Service Contract,Sole Source,Taloyoak,Family Services,Bayfield Treatment Centres,01 April 2019,"$119,144.36"
Specialized Residential Care Treatment,Consulting,Sole Source,Naujaat,Family Services,Association for Community Living,01 April 2016,"$119,238.00"
Guardianship Services,Service Contract,Sole Source,Cambridge Bay,Family Services,YWCA Edmonton Disability Services,01 April 2015,"$119,429.00"
Residential Care,Service Contract,Public Request for Proposals,Cambridge Bay,Family Services,YWCA Edmonton Disability Services,01 April 2014,"$119,429.00"
Residential Care,Consulting,Public Request for Proposals,Kugluktuk,Family Services,Bairn Croft Residential Services Inc.,07 October 2015,"$119,443.80"
Residential Support Services,Consulting,Public Request for Proposals,Kugluktuk,Family Services,Bairn Croft Residential Services Inc.,07 October 2015,"$119,443.80"
"Flooring Replacement, Grinnell Place",Minor Construction or Services,Public Request for Proposals,Iqaluit,Family Services,Arctic Circle Construction Ltd.,18 March 2021,"$119,675.00"
Inunnguiniq Training,Consulting,Sole Source,Nunavut Territory,Family Services,Qaujiqiartiit Health Research Centre,01 April 2016,"$120,000.00"
Income Support Delivery System Services,Service Contract,Public Request for Proposals,Nunavut Territory,Family Services,Rogue Data Corporation,01 April 2013,"$120,000.00"
Inunnguiniq Training,Consulting,Sole Source,Nunavut Territory,Family Services,Qaujigiartiit Health Research Centre,01 April 2017,"$120,000.00"
Specialized Residential Care,Consulting,Public Request for Proposals,Chesterfield Inlet,Family Services,Bairn Croft Residential Services Inc.,08 May 2017,"$120,245.28"
Residential Care,Service Contract,Sole Source,Taloyoak,Family Services,YWCA Edmonton,01 April 2018,"$120,595.50"
Specialized Residential Care Treatment,Consulting,Public Request for Proposals,Arviat,Family Services,66339977 Manitoba Ltd. o/a The Massey Home,01 April 2016,"$120,997.50"
Residential Care,Consulting,Public Request for Proposals,Rankin Inlet,Family Services,The Massey Home,01 April 2015,"$120,998.00"
Organizational Review,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,DPRA Canada Inc.,05 June 2017,"$121,000.00"
Residential Care,Service Contract,Sole Source,Kinngait,Family Services,Sinclair Children's Residence Inc.,01 April 2018,"$121,095.80"
Residential Care,Consulting,Sole Source,Cambridge Bay,Family Services,YWCA Edmonton,01 April 2016,"$121,296.38"
Residential Care,Consulting,Public Request for Proposals,Whale Cove,Family Services,663997 Manitoba LTd.,29 March 2019,"$121,479.00"
Residential Care,Service Contract,Sole Source,Arviat,Family Services,6639977 Manitoba Ltd. o/a The Massey Home,01 April 2019,"$121,479.00"
Residential Care,Service Contract,Sole Source,Igloolik,Family Services,Sinclair Children's Residence,01 April 2020,"$121,491.25"
Specialized Residential Care,Consulting,Sole Source,Naujaat,Family Services,Association for Community Living,01 April 2017,"$121,621.65"
Residential Care,Service Contract,Public Request for Proposals,Arviat,Family Services,6639977 Manitoba Ltd. o/a Massey Home,01 April 2020,"$121,625.00"
Mental Health Infrastructure Needs Assessment,Consulting,Public Request for Proposals,Rankin Inlet,Family Services,Stantec Architecture Ltd.,25 May 2018,"$123,477.00"
Residential Care,Consulting,Extension,Pangnirtung,Family Services,I Have a Chance Support Services Ltd.,01 October 2016,"$123,598.69"
Specialized Residential Care,Service Contract,Extension,Kugluktuk,Family Services,Parkland Community Living Support Society,01 April 2013,"$123,760.00"
Specialized Residential Care,Service Contract,Extension,Pond Inlet,Family Services,Community Living Alternative Services Ltd.,01 April 2013,"$123,880.00"
Residential Care,Service Contract,Sole Source,Cambridge Bay,Family Services,Maryhomes Inc.,01 April 2014,"$123,904.00"
Residential Care,Consulting,Invited Request for Proposals,Iqaluit,Family Services,I Have A Chance Support Services Ltd.,04 January 2018,"$123,946.28"
Residential Care,Service Contract,Public Request for Proposals,Cambridge Bay,Family Services,Country Haven Acres Residential Services Inc.,01 April 2014,"$124,086.00"
Residential Care,Service Contract,Sole Source,Kinngait,Family Services,Sinclair Children's Residence Inc.,29 March 2019,"$124,210.50"
Residential Care,Consulting,Public Request for Proposals,Gjoa Haven,Family Services,March of Dimes Canada,01 November 2016,"$124,582.00"
Residential Care,Consulting,Public Request for Proposals,Kugaaruk,Family Services,March of Dimes Canada,01 November 2016,"$124,582.00"
Family Home Provider,Consulting,Sole Source,Kugluktuk,Family Services,Silvia Moreno,01 April 2017,"$124,619.00"
Poverty Reduction Annual Meeting,Air Charters,Invitational Tender,Cambridge Bay,Family Services,Summit Air Baffin Ltd.,04 October 2019,"$124,690.13"
Residential Care,Service Contract,Sole Source,Kugluktuk,Family Services,Country Haven Acres Residential Services Inc.,01 April 2015,"$124,750.00"
Residential Care,Service Contract,Sole Source,Kugluktuk,Family Services,Country Haven Acres Residential Services Inc.,01 April 2015,"$124,750.00"
Residential Care,Consulting,Public Request for Proposals,Arviat,Family Services,663997 Manitoba Ltd.,29 March 2019,"$124,905.58"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Sinclair Children's Residence,01 April 2020,"$124,954.25"
Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Ivik Enterprises Ltd.,01 October 2012,"$125,000.00"
Residential Care,Service Contract,Sole Source,Pond Inlet,Family Services,Alliance Youth Services Inc.,01 November 2020,"$125,002.38"
Residential Care,Consulting,Public Request for Proposals,Kugluktuk,Family Services,March of Dimes Canada,01 November 2016,"$125,007.00"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,Sinclair Children's Residence Inc.,01 April 2016,"$125,216.20"
Residential Care,Consulting,Public Request for Proposals,Cambridge Bay,Family Services,I Have a Chance Support Services Ltd.,11 August 2016,"$126,545.53"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Sinclair Children's Residence,01 April 2020,"$126,795.50"
Residential Care,Service Contract,Public Request for Proposals,Whale Cove,Family Services,6639977 Manitoba Ltd. o/a Massey Home,01 April 2020,"$127,100.00"
Residential Care,Service Contract,Sole Source,Pangnirtung,Family Services,I Have a Chance Support Services Ltd.,13 March 2019,"$127,314.18"
Residential Care,Service Contract,Sole Source,Pond Inlet,Family Services,Marta Olvera,01 April 2014,"$127,376.00"
"New Indoor Painting, Grinnell Place",Minor Construction or Services,Public Request for Proposals,Iqaluit,Family Services,GC-North Construction Inc.,18 March 2021,"$127,695.00"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,Bairn Croft Residential Services Inc.,16 November 2015,"$128,287.46"
Specialized Residential Care,Service Contract,Sole Source,Pond Inlet,Family Services,Marta Olvera,01 April 2013,"$128,560.00"
Residential Care,Service Contract,Sole Source,Cambridge Bay,Family Services,YWCA Edmonton,01 April 2020,"$128,571.45"
Residential Care,Service Contract,Sole Source,Pond Inlet,Family Services,Marta Olvera,01 April 2015,"$128,976.00"
Residential Care,Consulting,Sole Source,Pond Inlet,Family Services,Marta Olvera,01 April 2016,"$128,976.00"
System Development Support Services,Consulting,Sole Source,Nunavut Territory,Family Services,Lorraine MacEachern,10 May 2016,"$129,888.00"
Damp Shelter,Service Contract,Sole Source,Iqaluit,Family Services,Inukshuk Guardian Society,01 January 2019,"$130,000.00"
Grade 3 Career Development Guided Books,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,Inhabit Education Inc.,19 May 2018,"$131,040.00"
Professional Services and Support,Service Contract,Extension,Nunavut Territory,Family Services,Work with Solutions,01 April 2014,"$131,400.00"
Residential Care,Consulting,Sole Source,Sanirajak,Family Services,Community Living Alternative Services Ltd.,01 April 2016,"$131,445.00"
Residential Care,Consulting,Sole Source,Sanirajak,Family Services,Community Living Alternative Services Ltd.,01 April 2017,"$131,445.00"
Residential Care,Service Contract,Sole Source,Pond Inlet,Family Services,Community Living Alternative Services Ltd,01 April 2015,"$131,446.00"
Residential Care,Service Contract,Public Request for Proposals,Pond Inlet,Family Services,Community Living Alternative Services Ltd,01 April 2014,"$131,455.00"
IT Project Manager,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Intellistaff Ltd.,28 March 2019,"$132,420.00"
Residential Care,Service Contract,Public Request for Proposals,Kugluktuk,Family Services,Parkland Community Living & Support Services,01 April 2014,"$132,528.00"
Residential Care,Service Contract,Sole Source,Kinngait,Family Services,Broken Arrow Residential Treatment Centre,11 March 2019,"$132,550.00"
Residential Care,Consulting,Sole Source,Pond Inlet,Family Services,Marta Olvera,01 April 2017,"$132,798.00"
Removal of Materials,Service Contract,Invited Request for Proposals,Iqaluit,Family Services,Qikiqtaaluk Environmental,19 April 2017,"$133,334.06"
Residential Care,Service Contract,Sole Source,Pond Inlet,Family Services,Marta Olvera,01 April 2018,"$133,602.00"
Residential Care,Service Contract,Sole Source,Cambridge Bay,Family Services,Maryhomes Inc.,01 April 2014,"$133,854.00"
Residential Care,Service Contract,Public Request for Proposals,Gjoa Haven,Family Services,Ever Bright Complex Needs Support Services,01 October 2020,"$133,970.00"
Career Practitioner Program,Service Contract,Sole Source,Qikiqtaaluk Region,Family Services,Nunavut Arctic College,01 April 2014,"$134,000.00"
Residential Care,Consulting,Public Request for Proposals,Kinngait,Family Services,5788847 Manitoba Inc.,11 March 2019,"$134,380.00"
Residential Care,Service Contract,Sole Source,Igloolik,Family Services,Options Youth Ontario Inc.,28 April 2020,"$134,603.00"
"Tenant Improvement, Grinnell Place",Consulting,Public Request for Proposals,Iqaluit,Family Services,Livingstone Architect,09 January 2020,"$135,000.00"
Specialized Residential Care,Consulting,Public Request for Proposals,Arviat,Family Services,Lakeview Community Living Inc.,01 September 2017,"$135,000.00"
Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,March of Dimes Canada,28 August 2020,"$135,159.00"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Alliance Youth Services Inc.,01 April 2020,"$135,536.50"
Specialized Residential Care,Service Contract,Extension,Rankin Inlet,Family Services,Parkland Community Living Support Society,01 April 2013,"$135,815.00"
Residential Care,Service Contract,Sole Source,Kinngait,Family Services,Broken Arrow Residential Treatment Services,01 April 2020,"$136,400.00"
Residential Care,Service Contract,Sole Source,Baker Lake,Family Services,Broken Arrow Residential Treatment Centre,15 March 2019,"$136,450.00"
Residential Care,Service Contract,Sole Source,Resolute Bay,Family Services,Partners in Parenting Inc.,01 April 2020,"$136,625.00"
Residential Care,Service Contract,Sole Source,Taloyoak,Family Services,Bayfield Treatment Centres,01 April 2020,"$136,679.30"
Residential Care,Service Contract,Sole Source,Taloyoak,Family Services,Bayfield Treatment Centres,01 April 2020,"$136,679.30"
Residential Care,Service Contract,Public Request for Proposals,Kugluktuk,Family Services,Country Haven Acres Residential Services Inc.,01 April 2014,"$136,838.00"
Nunavut Roundtable for Poverty Reduction,Air Charters,Invitational Tender,Cambridge Bay,Family Services,Kitikmeot Air Ltd.,30 November 2015,"$136,866.80"
Supported Living Care,Consulting,Public Request for Proposals,Kitikmeot Region,Family Services,Quest Support Services Inc.,17 July 2017,"$136,933.87"
Residential Care,Service Contract,Sole Source,Qikiqtarjuaq,Family Services,Alan Stewart Home,20 July 2020,"$137,088.00"
Residential Care,Service Contract,Public Request for Proposals,Naujaat,Family Services,Ranch Ehrlo Society,14 July 2014,"$137,252.00"
Residential Care,Service Contract,Public Request for Proposals,Baker Lake,Family Services,Lakeview Community Living Inc.,01 April 2014,"$137,523.70"
Residential Care,Service Contract,Sole Source,Rankin Inlet,Family Services,Bayfield Treatment Centres,03 July 2020,"$138,009.44"
Residential Care,Service Contract,Sole Source,Baker Lake,Family Services,Lakeview Community Living Inc.,01 April 2015,"$138,406.00"
Specialized Residential Care,Service Contract,Extension,Baker Lake,Family Services,Judy Borne,01 April 2013,"$138,700.00"
Residential Care,Service Contract,Public Request for Proposals,Sanikiluaq,Family Services,Parkland Community Living & Support Services,01 April 2014,"$139,087.00"
Specialized Residential Care,Service Contract,Public Request for Proposals,Kinngait,Family Services,Ranch Ehrlo Society,24 June 2013,"$139,205.00"
Residential Care,Consulting,Public Request for Proposals,Kugluktuk,Family Services,Independent Advocacy 2010 Inc.,30 October 2018,"$139,229.00"
Residential Care,Service Contract,Sole Source,Cambridge Bay,Family Services,Bayfield Treatment Centres,15 July 2020,"$139,300.00"
Residential Care,Service Contract,Sole Source,Kugluktuk,Family Services,Parkland Community Living & Support Services,01 April 2015,"$139,413.00"
Residential Care,Service Contract,Public Request for Proposals,Kugaaruk,Family Services,Quest Support Services Inc.,01 April 2014,"$139,717.00"
Specialized Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,I Have a Chance Support Services Ltd.,01 April 2013,"$139,744.00"
Residential Care,Consulting,Public Request for Proposals,Pangnirtung,Family Services,Partners in Parenting Inc.,01 April 2015,"$139,900.00"
Residential Care,Consulting,Public Request for Proposals,Kugaaruk,Family Services,Quest Support Services Inc.,01 April 2015,"$140,183.27"
Residential Care,Consulting,Public Request for Proposals,Kugaaruk,Family Services,Quest Support Services Inc.,01 April 2016,"$140,183.27"
Specialized Residential Care Treatment,Consulting,Public Request for Proposals,Naujaat,Family Services,5788847 MB Inc. o/a Gloria's Place,01 April 2016,"$140,525.00"
Specialized Residential Care Treatment,Consulting,Public Request for Proposals,Baker Lake,Family Services,5788847 MB Inc. o/a Gloria's Place,01 April 2016,"$140,525.00"
Specialized Residential Care Treatment,Consulting,Public Request for Proposals,Arviat,Family Services,5788847 MB Inc. o/a Gloria's Place,01 April 2016,"$140,525.00"
Specialized Residential Care Treatment,Consulting,Public Request for Proposals,Arviat,Family Services,5788847 MB Inc. o/a Gloria's Place,01 April 2016,"$140,525.00"
Residential Care,Consulting,Public Request for Proposals,Rankin Inlet,Family Services,5788847 Manitoba Inc.,01 April 2018,"$140,525.00"
Residential Care,Service Contract,Extension,Arviat,Family Services,6639977 Manitoba Ltd.,01 April 2014,"$140,525.00"
Specialized Residential Care Treatment,Consulting,Public Request for Proposals,Baker Lake,Family Services,Lakeview Community Living Inc.,01 April 2016,"$140,799.42"
Residential Care,Consulting,Public Request for Proposals,Naujaat,Family Services,5788847 Manitoba Inc.,01 April 2019,"$140,910.00"
Residential Care,Service Contract,Public Request for Proposals,Gjoa Haven,Family Services,Quest Support Services Inc.,01 April 2020,"$141,020.94"
Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,March of Dimes Canada,31 August 2020,"$141,095.00"
Residential Care,Service Contract,Sole Source,Rankin Inlet,Family Services,Protegra Inc.,01 April 2015,"$141,315.00"
Elder's Facility Fuel Spill,Architectural/Engineering,Sole Source,Baker Lake,Family Services,BluMetric Environmental Inc.,05 June 2018,"$141,374.36"
Residential Care,Service Contract,Sole Source,Naujaat,Family Services,5788847 MB Inc. o/a Gloria's Place,01 April 2015,"$141,575.00"
Residential Care,Service Contract,Sole Source,Baker Lake,Family Services,5788847 MB Inc. o/a Gloria's Place,01 April 2015,"$141,575.00"
Family Care Provider,Consulting,Sole Source,Sanikiluaq,Family Services,Michelle Davison,01 April 2016,"$141,625.00"
Residential Care,Service Contract,Public Request for Proposals,Rankin Inlet,Family Services,Protegra Inc.,01 April 2014,"$141,879.15"
Specialized Residential Care,Consulting,Sole Source,Coral Harbour,Family Services,Ranch Ehrlo Society,02 July 2015,"$142,446.00"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Sinclair Children's Residence,01 April 2020,"$142,967.50"
Residential Care,Service Contract,Sole Source,Sanikiluaq,Family Services,Parkland Community Living & Support Services,01 April 2015,"$143,472.00"
Residential Care,Service Contract,Public Request for Proposals,Arviat,Family Services,6639977 Manitoba Ltd. o/a Massey Home,01 April 2020,"$143,525.00"
Specialized Residential Care/Treatment,Consulting,Public Request for Proposals,Arviat,Family Services,I Have a Chance Support Services Ltd.,01 August 2016,"$143,723.88"
Residential Care,Service Contract,Sole Source,Baker Lake,Family Services,Judy Borne,01 April 2014,"$144,180.00"
Infrastructure & Program Needs Assessment,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Consulting Matrix,17 October 2017,"$144,335.00"
Residential Care,Service Contract,Sole Source,Rankin Inlet,Family Services,Maryhomes Inc.,01 April 2015,"$144,340.00"
Residential Care,Service Contract,Extension,Iqaluit,Family Services,Ranch Ehrlo Society,01 April 2014,"$144,557.00"
Residential Care,Consulting,Sole Source,Kugluktuk,Family Services,Parkland Community Living & Supports Society,01 April 2016,"$144,754.00"
Residential Care,Service Contract,Public Request for Proposals,Kinngait,Family Services,Bairn Croft Residential Services Inc.,26 June 2019,"$144,890.28"
Residential Care,Service Contract,Sole Source,Arviat,Family Services,Broken Arrow Residential Treatment Centre,15 March 2019,"$145,250.00"
Residential Care,Service Contract,Sole Source,Arctic Bay,Family Services,Partners in Parenting Inc.,01 April 2020,"$145,375.00"
Residential Care,Service Contract,Sole Source,Arviat,Family Services,Bairn Croft Residential Services Inc.,01 April 2020,"$145,474.16"
Specialized Residential Care,Service Contract,Extension,Rankin Inlet,Family Services,Parkland Community Living Support Society,01 April 2013,"$145,668.00"
Construction Services-Youth Group Home,Service Contract,Invited Request for Proposals,Iqaluit,Family Services,GC North Construction Inc.,12 April 2017,"$145,811.00"
Residential Care,Service Contract,Sole Source,Baker Lake,Family Services,Judy Borne,01 April 2015,"$145,860.00"
Residential Care,Service Contract,Sole Source,Kugluktuk,Family Services,Bayfield Treatment Centres,01 April 2020,"$145,873.65"
Residential Care,Service Contract,Extension,Arviat,Family Services,5788847 MB Inc. o/a Gloria's Place,01 April 2013,"$146,000.00"
Residential Care,Service Contract,Extension,Sanikiluaq,Family Services,5788847 Manitoba Ltd.,01 April 2014,"$146,000.00"
Residential Care,Service Contract,Sole Source,Arviat,Family Services,5788847 Manitoba Ltd.,01 April 2014,"$146,000.00"
Residential Care,Consulting,Public Request for Proposals,Arviat,Family Services,Options Youth (Ontario) Inc.,29 March 2019,"$146,182.00"
Family Care Provider,Consulting,Sole Source,Sanikiluaq,Family Services,Michelle Davison,01 April 2017,"$147,100.00"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Ottawa Carlton Lifeskills Inc.,06 September 2020,"$147,262.00"
Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,March of Dimes Canada,31 August 2020,"$147,545.00"
Specialized Residential Care Treatment,Consulting,Sole Source,Sanikiluaq,Family Services,Parkland Community Living & Supports Society,01 April 2016,"$147,660.00"
Residential Care,Service Contract,Public Request for Proposals,Naujaat,Family Services,5788847 Manitoba Inc. o/a Gloria's Place,01 April 2020,"$147,825.00"
Residential Care,Consulting,Sole Source,Iqaluit,Family Services,Terrace Youth Residential Services Inc.,01 April 2016,"$148,550.00"
Development of a CD Guided Reading Series,Consulting,Public Request for Proposals,Iqaluit,Family Services,Inhabit Education Inc.,01 April 2016,"$148,690.00"
Action Plan for Family Violence Prevention,Service Contract,Invited Request for Proposals,Nunavut Territory,Family Services,Qulliit Nunavut Status of Women Council,17 September 2014,"$149,000.00"
Residential Care,Service Contract,Sole Source,Arviat,Family Services,Dana Ryz,01 April 2018,"$149,355.00"
Residential Care,Service Contract,Sole Source,Arviat,Family Services,Dana Ryz,01 April 2019,"$149,355.00"
"Apprenticeship, Trades and Occupations Review",Service Contract,Public Request for Proposals,Nunavut Territory,Family Services,Amec Foster Wheeler Environment & Infrastruct,27 November 2015,"$149,730.00"
Residential Care,Service Contract,Sole Source,Sanikiluaq,Family Services,Michelle Davison,15 March 2019,"$149,935.00"
Specialized Residential Care,Service Contract,Public Request for Proposals,Kinngait,Family Services,Protegra Inc.,01 April 2013,"$150,019.00"
Specialized Residential Care,Consulting,Sole Source,Sanikiluaq,Family Services,Parkland Community Living & Supports Society,01 April 2017,"$150,276.00"
Residential Care,Service Contract,Public Request for Proposals,Gjoa Haven,Family Services,Parkland Community Living & Support Services,01 April 2014,"$150,707.00"
Residential Care,Service Contract,Public Request for Proposals,Arviat,Family Services,6639977 Manitoba Ltd. o/a Massey Home,01 May 2020,"$150,750.00"
Residential Care,Service Contract,Public Request for Proposals,Kinngait,Family Services,Bairn Croft Residential Services Inc.,01 April 2014,"$150,837.00"
Residential Care,Consulting,Public Request for Proposals,Kinngait,Family Services,Partners in Parenting Inc.,13 March 2019,"$150,839.10"
Residential Care,Service Contract,Sole Source,Rankin Inlet,Family Services,Lakeview Community Living Inc.,01 April 2014,"$150,972.00"
Residential Care,Consulting,Sole Source,Taloyoak,Family Services,Broken Arrow Residential Treatment Services,06 May 2017,"$151,210.00"
Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,March of Dimes Canada,10 July 2019,"$151,374.00"
Residential Care,Consulting,Public Request for Proposals,Arviat,Family Services,Lakeview Community Living Incorporated,01 April 2018,"$151,388.14"
Residential Care,Service Contract,Sole Source,Sanikiluaq,Family Services,Michelle Davison,01 April 2018,"$151,469.06"
Residential Care,Service Contract,Sole Source,Rankin Inlet,Family Services,Lakeview Community Living Inc,01 April 2015,"$151,472.00"
Specialized Residential Care,Consulting,Public Request for Proposals,Arviat,Family Services,5788847 MB Inc. o/a Gloria's Place,16 August 2016,"$151,620.00"
Residential Care,Service Contract,Sole Source,Sanikiluaq,Family Services,Parkland Community Living & Supports Society,01 April 2018,"$151,932.00"
Residential Care,Service Contract,Sole Source,Arviat,Family Services,Options Youth Ontario Inc.,01 April 2020,"$151,977.00"
Specialized Residential Care Treatment,Consulting,Public Request for Proposals,Rankin Inlet,Family Services,Lakeview Community Living Inc.,01 April 2016,"$151,988.06"
Residential Care,Service Contract,Sole Source,Cambridge Bay,Family Services,Maryhomes Inc.,01 April 2014,"$152,048.00"
Specialized Residential Care Treatment,Consulting,Public Request for Proposals,Baker Lake,Family Services,Lakeview Community Living Inc.,01 April 2016,"$152,396.11"
Residential Care,Service Contract,Sole Source,Baker Lake,Family Services,Lakeview Community Living Inc.,01 April 2015,"$152,480.00"
Residential Care,Consulting,Public Request for Proposals,Kugluktuk,Family Services,Stepping Stones Foster Care Inc.,01 April 2016,"$152,738.55"
Specialized Residential Care/Treatment,Consulting,Public Request for Proposals,Rankin Inlet,Family Services,March of Dimes Canada,01 November 2016,"$153,413.50"
Residential Care,Consulting,Sole Source,Kugluktuk,Family Services,Parkland Community Living & Supports Society,01 April 2017,"$154,030.00"
Residential Care,Service Contract,Sole Source,Baker Lake,Family Services,Lakeview Community Living Inc.,01 April 2014,"$154,058.00"
Residential Care,Consulting,Sole Source,Kugluktuk,Family Services,Maryhomes Inc.,01 April 2016,"$154,250.00"
Residential Care,Service Contract,Public Request for Proposals,Rankin Inlet,Family Services,Parkland Community Living & Support Services,01 April 2014,"$154,519.00"
Residential Care,Service Contract,Sole Source,Sanikiluaq,Family Services,Parkland Community Living & Supports Society,01 April 2019,"$154,583.76"
Online Learning Services,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,Work with Solutions,01 April 2016,"$154,897.80"
